MSFT
DAY     OPEN     HIGH      LOW    CLOSE   ADJ-CL
--- -------- -------- -------- -------- -------- 
0     308.07   310.79   304.52   307.77   303.53
1     307.08   309.80   303.53   306.77   302.55
2     306.07   308.78   302.53   305.76   301.55
3     305.27   307.98   301.73   304.95   300.76
4     304.64   307.35   301.11   304.33   300.14
5     304.17   306.88   300.64   303.85   299.67
6     303.82   306.52   300.30   303.50   299.33
7     303.58   306.28   300.06   303.26   299.09

AAPL
DAY     OPEN     HIGH      LOW    CLOSE   ADJ-CL
--- -------- -------- -------- -------- -------- 
0     173.12   175.25   171.16   173.30   172.00
1     171.93   174.04   169.99   172.11   170.81
2     170.70   172.79   168.77   170.88   169.58
3     169.73   171.80   167.81   169.90   168.61
4     168.96   171.02   167.05   169.13   167.83
5     168.33   170.39   166.43   168.50   167.21
6     167.81   169.86   165.92   167.98   166.69
7     167.38   169.43   165.50   167.55   166.26

NVDA
DAY     OPEN     HIGH      LOW    CLOSE   ADJ-CL
--- -------- -------- -------- -------- -------- 
0     291.04   296.54   283.16   291.13   290.21
1     291.90   297.39   283.98   292.04   291.06
2     292.81   298.32   284.85   292.95   291.97
3     293.62   299.14   285.63   293.76   292.77
4     294.37   299.90   286.35   294.51   293.52
5     295.06   300.61   287.02   295.21   294.21
6     295.70   301.26   287.63   295.85   294.84
7     296.29   301.85   288.19   296.44   295.42

TSLA
DAY     OPEN     HIGH      LOW    CLOSE   ADJ-CL
--- -------- -------- -------- -------- -------- 
0     172.00   176.52   167.15   171.72   171.37
1     172.60   177.12   167.74   172.32   171.96
2     172.56   177.08   167.70   172.28   171.92
3     172.47   176.98   167.61   172.18   171.82
4     172.36   176.87   167.51   172.08   171.72
5     172.24   176.75   167.39   171.96   171.60
6     172.12   176.62   167.27   171.84   171.47
7     171.99   176.49   167.15   171.71   171.35

T
DAY     OPEN     HIGH      LOW    CLOSE   ADJ-CL
--- -------- -------- -------- -------- -------- 
0      17.21    17.31    17.05    17.14    16.93
1      17.30    17.42    17.14    17.24    16.94
2      17.41    17.53    17.25    17.36    16.95
3      17.52    17.65    17.36    17.48    16.99
4      17.63    17.76    17.47    17.60    17.03
5      17.75    17.88    17.58    17.72    17.09
6      17.87    18.01    17.70    17.85    17.15
7      17.99    18.14    17.82    17.98    17.23
